option,text
BPC package,"<h4>Bipartisan Policy Center package</h4><p>Annual PIA, limit spousal benefits, replace the WEP and GPO with a proportional reduction in OASI benefits based on covered earnings, enhance survivor benefits, increase the progressivity of the benefit formula, increase Social Security tax max to $195,000, payroll tax to 13.4% and FRA to 69, switch to C-CPI-U for COLAs, end 'claim-and-suspend' games, create a basic minimum benefit for all individuals above the FRA eligible for Social Security, and tax 100 percent of Social Security benefits for beneficiaries with annual incomes above $250,000.</p>"
Scheduled law,"<p><h4>Scheduled law</h4>Assumes that current public policies, business practices, and individual behaviors continue, and that Social Security benefits are paid as promised, even after the trust fund runs out.</p>"
Payable law,"<p><h4>Payable law</h4>Assumes that current public policies, business practices, and individual behaviors continue, but reduces Social Security benefits by a uniform amount after the trust fund runs out so that all benefits in each year can be paid out of revenues from that year. </p>"
RothIRA2,"<h4>RothIRA2</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2allpart,"<h4>RothIRA2allpart</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
<li>No cashouts for MEP plans.</li>
<li>Force DC participation for MEP candidates.</li>
</ul>"
RothIRA2b,"<h4>RothIRA2b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>90% of participants take default.</li>
<li>Firms with 10 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2c,"<h4>RothIRA2c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>60% of MEP participants take default.</li>
<li>Firms with 1 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2d,"<h4>RothIRA2d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>60% of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2e,"<h4>RothIRA2e</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan.</li>
<li>90% of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2f,"<h4>RothIRA2f</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in TSP G fund</li>
<li>90% of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2g,"<h4>RothIRA2g</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan</li>
<li>60% of MEP participants take default.</li>
<li>Firms with 10 or more workers. </li>
<li>NO Roth AGI limits.</li>
<li>Use 401k contribution limits</li>
</ul>"
RothIRA2nocashout,"<h4>RothIRA2nocashout</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan. </li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits. </li>
<li>Apply Roth contribution limits.</li>
<li>No cashouts from MEP plans.</li>
</ul>"
RothIRA2reenroll,"<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan. </li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits. </li>
<li>Apply Roth contribution limits.</li>
<li>Automatically reenroll workers annually.</li>
</ul>"
RothIRA3,"<h4>RothIRA3</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 5% default investment in Target Date Plan. </li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3b,"<h4>RothIRA3b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 5% default investment in Target Date Plan. </li>
<li>90% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3c,"<h4>RothIRA3c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 5% default investment in Target Date Plan. </li>
<li>60% of MEP participants take default. </li>
<li>Firms with 1 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3d,"<h4>RothIRA3d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 6% default investment in Target Date Plan. </li>
<li>60% of MEP participants take default. </li>
<li>Firms with 25 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4,"<h4>RothIRA4</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates one percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan. </li>
<li>Autoescalate to 10%.</li>
<li>60% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4b,"<h4>RothIRA4b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates one percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth-IRA plan with automatic enrollment and 3% default investment in Target Date Plan. </li>
<li>Autoescalate to 10%. </li>
<li>90% of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth AGI limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
